"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R21","RS-1005","-1.4587mm","5.773mm","-1.4587mm","5.773mm","-1.4587mm","5.323mm","B","90.00","10K//NI"
"R20","RS-1005","5.427mm","2.8mm","5.427mm","2.8mm","4.977mm","2.8mm","B","360.00","10K//NI"
"R19","RS-1005","5.427mm","1.6mm","5.427mm","1.6mm","4.977mm","1.6mm","B","360.00","10K//NI"
"R18","RS-1005","-0.273mm","5.773mm","-0.273mm","5.773mm","-0.273mm","6.223mm","B","270.00","10K"
"FB12","LS-1608","-5.4mm","4.4mm","-5.4mm","4.4mm","-5.4mm","3.638mm","B","90.00","220R//NI"
"Y2","XTS-MC-146","-12.5mm","-15.9mm","-12.5mm","-15.9mm","-15.65mm","-16.32mm","T","360.00","32.768KHz-MC-146-7pF"
"U18","SOT-23-5P","2.2mm","16.423mm","2.2mm","16.423mm","3.15mm","15.073mm","B","180.00","AME5253-AEVADJ"
"U17","IMX219-PLCC32","0mm","0mm","0mm","0mm","3.425mm","-0.35mm","B","90.00","IMX219PLCC32"
"U13","SOIC-8","-19.414mm","14.234mm","-19.4mm","14.2mm","-16.62mm","16.1391mm","B","270.00","MP1482"
"U8","SOT-23-5P","2.4342mm","6.127mm","2.4342mm","6.127mm","3.7842mm","5.177mm","T","90.00","SGM2036-2.8YN5G/TR"
"U1","SOT-23-5P","9.873mm","16.423mm","9.873mm","16.423mm","10.823mm","15.073mm","B","180.00","AME5253-AEVADJ"
"R76","RS-1005","-19.6601mm","-2.7mm","-19.6601mm","-2.7mm","-20.1101mm","-2.7mm","B","360.00","10K"
"R68","RS-1608","-14.3mm","-2.6mm","-14.3mm","-2.6mm","-14.3mm","-3.4001mm","T","90.00","1, 1%"
"R61","RS-1005","5.1156mm","17.923mm","5.1156mm","17.923mm","5.5656mm","17.923mm","B","180.00","75K,1%"
"R58","RS-1005","5.1156mm","16.7031mm","5.1156mm","16.7031mm","4.6656mm","16.7031mm","B","360.00","150K, 1%"
"R17","RS-1005","-22.0676mm","10.4441mm","-22.0676mm","10.4441mm","-22.0676mm","9.9941mm","B","90.00","10K, 1%"
"R13","RS-1005","12.773mm","16.7031mm","12.773mm","16.7031mm","12.323mm","16.7031mm","B","0.00","150K, 1%"
"LD4","LED-3030","11mm","-8mm","11mm","-8mm","12.3mm","-8mm","B","180.00","LED3030"
"LD3","LED-3030","11mm","8mm","11mm","8mm","9.7mm","8mm","B","360.00","LED3030"
"LD2","LED-3030","-11mm","8mm","-11mm","8mm","-12.3mm","8mm","B","360.00","LED3030"
"LD1","LED-3030","-11mm","-8mm","-11mm","-8mm","-9.7mm","-8mm","B","180.00","LED3030"
"L6","CDRH2D14NP","2.4mm","12.1mm","2.4mm","12.1mm","1.3mm","13.2mm","B","180.00","CDRH2D14NP-2R2NC"
"J7","LENS_HOLDER_C_SQUARE","0mm","-0.1mm","0mm","-0.1mm","10mm","-0.1mm","B","180.00","Lens Holder"
"FB10","LS-1608","-24.645mm","-10.25mm","-24.645mm","-10.25mm","-23.883mm","-10.25mm","B","180.00","220R//NI"
"FB9","LS-1608","-24.645mm","-11.75mm","-24.645mm","-11.75mm","-23.883mm","-11.75mm","B","180.00","220R//NI"
"FB4","LS-1608","13.6mm","-4.2755mm","13.6mm","-4.2755mm","13.6mm","-3.5135mm","B","270.00","220R"
"D4","PowerDI123","-15.2125mm","-12.6717mm","-14.9mm","-12.6717mm","-16.75mm","-12.6717mm","T","180.00","DFLS140"
"C38","CS-2012","5.8mm","11.7mm","5.8mm","11.7mm","5.8mm","10.6205mm","B","90.00","22uF-6.3V"
"C28","CS-1005","5.1156mm","15.483mm","5.1156mm","15.483mm","5.5656mm","15.483mm","B","180.00","22pF"
"C11","C3216","-10.7mm","-15.9mm","-10.7mm","-15.9mm","-10.7mm","-14.3mm","B","270.00","4.7uF-25V-3216"
"C5","CS-2012","-4.625mm","14.3648mm","-4.625mm","14.3648mm","-4.625mm","15.4443mm","B","270.00","22uF-6.3V"
"BC29","CS-1608","3mm","11.2mm","3mm","11.2mm","2.1999mm","11.2mm","T","360.00","1uF"
"BC28","CS-1608","0.5mm","16.15mm","0.5mm","16.15mm","0.5mm","15.3499mm","T","90.00","0.1uF"
"BC21","CS-1005","3.3mm","8.4mm","3.3mm","8.4mm","2.85mm","8.4mm","T","360.00","0.1uF"
"R15","RS-1005","12.773mm","17.923mm","12.773mm","17.923mm","13.223mm","17.923mm","B","180.00","33.3K, 1%"
"L1","CDRH5D18NP","-10.7081mm","15.0546mm","-10.7081mm","15.0546mm","-12.7831mm","15.0546mm","B","180.00","CDRH5D18NP-100NC-10uH"
"FB8","LS-1608","5.8mm","9.2mm","5.8mm","9.2mm","5.8mm","8.438mm","T","90.00","220R//NI"
"R70","RS-1005","-19.6601mm","5.4mm","-19.6601mm","5.4mm","-20.1101mm","5.4mm","B","360.00","10K"
