Altium Designer Pick and Place Locations
D:\BACKUP\Hardwares\NaiS802HD\Schematic\2023-05-14\Pick Place\Pick Place for NaiS802HD_0.7.txt

========================================================================================================================
File Design Information:

Date:       14-05-23
Time:       14:59
Revision:   81580b44e438415506cdda179e9784fef65fadd1
Variant:    No variations
Units used: mm

Designator Comment                     Layer       Footprint           Center-X(mm) Center-Y(mm) Rotation Description 
FB13       220R                        TopLayer    LS-1608             13.0000      9.4000       270      ""          
C43        1uF                         TopLayer    CS-1005             7.6000       0.0000       180      ""          
BC48       0.1uF                       TopLayer    CS-1005             7.6000       -2.6000      180      ""          
BC47       10uF                        TopLayer    CS-1005             7.0000       4.9000       90       ""          
BC46       0.1uF                       TopLayer    CS-1005             7.6000       2.1000       180      ""          
BC45       10uF                        TopLayer    CS-1005             7.6000       -1.4000      180      ""          
BC44       0.1uF                       TopLayer    CS-1005             8.2000       4.9000       90       ""          
BC43       10uF                        TopLayer    CS-1005             5.5375       2.4000       360      ""          
BC42       0.1uF                       TopLayer    CS-1005             5.5000       3.6000       360      ""          
BC41       1uF                         TopLayer    CS-1005             5.8000       1.2000       360      ""          
BC40       1uF                         TopLayer    CS-1005             -3.6000      -1.0000      360      ""          
BC39       1uF                         TopLayer    CS-1005             -3.6000      1.4000       360      ""          
BC38       1uF                         TopLayer    CS-1005             -1.8000      -0.5000      90       ""          
BC37       1uF                         TopLayer    CS-1005             -3.6000      0.2000       360      ""          
BC36       1uF                         TopLayer    CS-1005             -1.1000      5.0000       90       ""          
BC35       1uF                         TopLayer    CS-1005             2.5000       -3.0000      90       ""          
BC34       1uF                         TopLayer    CS-1005             -6.1000      -1.3000      270      ""          
BC33       1uF                         TopLayer    CS-1005             0.5000       5.0000       90       ""          
BC32       1uF                         TopLayer    CS-1005             0.5000       3.0000       270      ""          
BC31       1uF                         TopLayer    CS-1005             -2.4000      5.0000       90       ""          
BC30       1uF                         TopLayer    CS-1005             -2.3000      -3.7000      90       ""          
U19        SGM4574YUQN12G/TR           BottomLayer UTQFN-1.8¡¿1.8-12L   22.6000      -10.7000     270      ""          
C42        0.1uF                       TopLayer    CS-1005             12.6080      -16.2000     270      ""          
C41        0.1uF                       TopLayer    CS-1005             11.4080      -16.2000     270      ""          
C40        0.1uF                       TopLayer    CS-1005             10.2080      -16.2000     270      ""          
C39        0.1uF                       TopLayer    CS-1005             9.0080       -16.2000     270      ""          
Y1         25MHz-S20P-SX32             TopLayer    SX-32               8.5000       -5.5000      90       ""          
U16        DS1339U-33                  TopLayer    TSSOP8-M            -20.9000     -15.2250     90       ""          
U12        TPS61165DBVR                TopLayer    SOT23-6             -15.6000     -6.7000      90       ""          
U11        SGM2036-1.2YN5G/TR          TopLayer    SOT-23-5P           -1.6000      10.3000      180      ""          
U4         YT8521SH                    TopLayer    QFN48_6x6           16.0678      -5.1495      90       ""          
TVS2       ESD5B5.0ST1G                TopLayer    SOD-523             -6.9000      2.4000       360      ""          
TVS1       ESD5B5.0ST1G                BottomLayer SOD-523             -12.5000     8.2000       270      ""          
TP4        TPS                         BottomLayer TP_0.8_SMD          -22.0000     -9.7500      90       ""          
TP2        TPS                         BottomLayer TP_0.8_SMD          -28.1700     -8.7500      90       ""          
TP1        TPS                         BottomLayer TP_0.8_SMD          -28.1700     -11.7500     90       ""          
T1         TRC41604NL                  TopLayer    TRC41604NL          -0.1000      -12.6000     180      ""          
SW1        "SW PB"                     BottomLayer SWS-CTT-1131U       26.3778      9.8431       90       ""          
R67        22                          TopLayer    RS-1005             -19.1750     -6.7000      180      ""          
R66        10K                         TopLayer    RS-1005             -19.1750     -8.0000      360      ""          
R56        10K                         TopLayer    RS-1005             0.5000       -3.0000      180      ""          
R55        22                          TopLayer    RS-1005             -2.6000      -2.2000      360      ""          
R54        4.7K                        TopLayer    RS-1005             0.5000       -1.2000      360      ""          
R53        4.7K                        TopLayer    RS-1005             0.5000       0.0000       360      ""          
R52        75                          TopLayer    RS-1005             -7.7553      -17.8000     360      ""          
R51        75                          TopLayer    RS-1005             7.6453       -17.8000     180      ""          
R50        4.7K                        TopLayer    RS-1005             14.4000      5.2000       90       ""          
R49        0//NI                       BottomLayer RS-1005             8.3000       -11.3000     180      ""          
R48        4.7K                        TopLayer    RS-1005             10.5000      5.2000       270      ""          
R46        10K                         BottomLayer RS-1005             19.0000      -11.0840     180      ""          
R44        40.2K                       BottomLayer RS-1005             19.0158      -9.9110      360      ""          
R42        4.7K                        BottomLayer RS-1005             22.4000      -0.6000      90       ""          
R41        2.2K                        TopLayer    RS-1005             19.0000      -12.1000     180      ""          
R32        "2.49K, 1%"                 TopLayer    RS-1005             11.8356      -8.8494      90       ""          
R28        4.7K                        BottomLayer RS-1005             23.0000      -6.7000      180      ""          
R27        4.7K                        BottomLayer RS-1005             23.0000      -7.9000      180      ""          
R16        2.2K                        BottomLayer RS-1005             -24.6450     11.7500      90       ""          
R12        "45K, 1%"                   BottomLayer RS-1005             -22.7000     10.5000      90       ""          
